10,10,10,0,0,0,0,0
15,10,9.47825,0,0,0,1.4177,4
16.61,10,9.47825,0,30,2,1.6477,1
19.9259,10.4365,10.4783,0.261792,30,2,2.1477,0
23.0159,11.7164,11.4783,0.523583,30,2,2.6477,0
24.3025,12.5663,11.9383,0.644008,0,2,2.8777,1
26.9847,14.5801,12.9383,0.644008,0,2,3.3777,0
29.667,16.594,13.9383,0.644008,0,2,3.8777,0
30.9008,17.5203,14.3983,0.644008,10,2,4.1077,1
33.4919,19.6485,15.3983,0.731271,10,2,4.6077,0
34.6193,20.7017,15.8583,0.771413,0,0,4.8377,1
35.7735,21.8241,15.8583,0.771413,0,2,5.0677,1
38.1782,24.1624,16.8582,0.771413,0,2,5.5677,0
39.2843,25.238,17.3182,0.771413,-80,2,5.7977,1
42.2819,26.5851,18.3182,0.0733017,-80,2,6.2977,0
45.5043,27.219,18.9961,-0.399895,-80,2,6.63661,0
47.0394,26.8116,19.2261,-0.118905,70,1,6.86661,1
50.3908,27.444,19.7261,0.491942,70,1,7.36661,0
50.3908,27.444,19.7261,0.491942,70,1,7.36661,0
-5.09996e+29,4.56949e-41,-5.09996e+29,4.56949e-41,0,0,7.59661,1
0,0,21.859,0.772932,0,0,9.63661,3
